word,freq
due,35669
correct,35595
apologize,35587
language,35569
stars,35549
faster,35547
cars,35472
folks,35431
bullshit,35397
fellow,35335
several,35232
grandma,35216
shows,35209
leader,35155
leaves,35150
restaurant,35126
east,35109
shouting,35108
blind,35066
ghost,35051
cup,35016
gotten,35001
tight,34972
conversation,34935
tells,34873
lies,34827
pulled,34816
hanging,34808
speed,34794
stories,34792
health,34788
advice,34773
held,34733
murdered,34599
beyond,34595
rule,34517
hardly,34482
possibly,34442
inspector,34442
cousin,34395
trial,34375
emergency,34359
ought,34342
eddie,34314
somehow,34291
hearing,34211
states,34128
account,34088
spoke,34035
file,33969
understood,33953
angel,33922
tape,33904
milk,33863
powerful,33854
weapons,33779
practice,33775
manager,33775
pardon,33755
vote,33737
jake,33704
national,33697
career,33682
minister,33653
super,33639
taught,33613
robert,33595
biggest,33564
plays,33550
natural,33540
dancing,33491
copy,33489
plus,33414
martin,33293
cake,33256
freedom,33196
among,33190
breath,33176
operation,33161
chris,33139
crew,33113
challenge,33099
market,33081
meat,33050
towards,33032
bringing,33020
dropped,32997
student,32987
lied,32979
strength,32950
size,32841
breathe,32841
color,32837
monster,32819
loud,32757
photo,32757
nearly,32730
sight,32715
greatest,32692
games,32623
bridge,32588
dressed,32547
arrested,32506
horrible,32492
coach,32471
planning,32400
checked,32333
breaking,32321
noticed,32301
fantastic,32288
screams,32273
serve,32190
ideas,32182
investigation,32178
center,32146
older,32130
pack,32110
soldiers,32098
nonsense,32097
doc,32073
project,32040
training,31973
example,31952
trick,31937
prepared,31857
science,31833
united,31812
travel,31791
incredible,31786
grandpa,31767
paying,31696
character,31657
teeth,31615
criminal,31574
charles,31567
chinese,31561
truly,31514
honestly,31501
bro,31473
survive,31440
bobby,31434
target,31415
feed,31409
nurse,31406
fake,31355
records,31339
breathing,31306
sweetie,31295
numbers,31285
oil,31269
suicide,31261
belong,31225
whoo,31217
perfectly,31201
amy,31193
forgotten,31150
remain,31135
original,31108
papa,31095
onto,31052
concerned,31047
credit,31029
ugh,31008
invited,30993
discuss,30922
research,30907
easier,30876
view,30874
chair,30826
hurts,30804
strike,30801
roger,30768
fill,30683
condition,30624
mountain,30565
nowhere,30470
sheriff,30458
kim,30447
turning,30420
brown,30395
recognize,30366
heads,30350
audience,30335
jealous,30274
pretend,30225
society,30208
finding,30196
shirt,30183
comfortable,30156
meaning,30144
guest,30128
pieces,30122
dry,30102
letting,30057
began,30049
aye,30029
jeff,29984
female,29953
release,29892
cards,29871
pray,29862
unfortunately,29849
balls,29799
destroyed,29789
ended,29775
universe,29765
prepare,29762
opinion,29749
movies,29742
soldier,29719
wash,29707
program,29668
heat,29645
usual,29636
ticket,29625
stolen,29618
prefer,29606
aware,29598
surely,29565
male,29548
base,29547
matters,29539
lift,29528
lab,29504
command,29479
proof,29430
cream,29378
selling,29357
believed,29337
create,29323
afford,29290
sunday,29282
total,29264
dumb,29229
threw,29223
france,29172
birth,29167
created,29134
realized,29081
british,29069
noise,29049
nuts,29037
students,29034
birds,29028
social,28990
brilliant,28972
bodies,28945
tie,28920
opened,28868
bucks,28842
kevin,28773
mister,28739
ugly,28713
ryan,28655
focus,28619
dan,28601
opens,28532
exist,28526
followed,28510
england,28505
draw,28503
purpose,28471
letters,28465
daniel,28404
opening,28386
bullet,28377
anna,28373
lately,28340
stayed,28309
falling,28291
season,28290
ends,28242
suggest,28213
joy,28200
distance,28199
responsibility,28183
whenever,28151
issue,28140
thousands,27986
process,27930
sword,27928
shower,27901
weak,27884
fucked,27883
lonely,27863
happiness,27844
eric,27842
tiny,27829
desk,27820
pool,27818
property,27815
forced,27813
settle,27798
indistinct,27777
weight,27761
received,27728
gang,27722
bite,27719
friday,27696
disappeared,27695
interview,27692
expecting,27676
kinda,27662
surgery,27630
horses,27542
mayor,27530
babe,27518
ancient,27510
handsome,27462
thomas,27442
saturday,27434
staff,27397
lines,27383
unit,27376
fan,27372
gentleman,27345
introduce,27302
fate,27299
split,27273
recently,27204
expected,27140
add,27132
ordered,27127
slowly,27121
alarm,27116
member,27112
slept,27077
signed,27074
enter,27074
spanish,27061
garden,27044
brings,27005
brave,26990
pig,26989
model,26977
finger,26967
medicine,26958
access,26937
failed,26879
flat,26848
easily,26840
discovered,26836
based,26829
screw,26824
insane,26788
cares,26777
weather,26740
fingers,26736
san,26690
